date,Hs,Tp,Shoreline,dx,Hs0,Hsb,omega,omega_filt
2009-03-23,1.9443846458333327,9.139352583333332,,,2.026382001979965,2.6250745221281595,7.698301756361381,2.7272045831290876
2009-03-24,1.3670884458333334,10.740740666666667,,,1.3601494407983856,2.0355482566773095,4.605646080917665,2.7990044657902846
2009-03-25,1.00443391625,9.637274041666666,,,1.0322550831484274,1.5631826138552622,3.77133698310028,2.8365732832793142
2009-03-26,1.0087921154166668,9.77272725,,,1.032701830680306,1.5724783590376166,3.7352018907706293,2.870877587598613
2009-03-27,1.0954427416666668,9.770408125,,,1.1214813159092216,1.6795661939535165,4.0570013900658655,2.9161466124983164
2009-03-28,0.7548988166666667,10.694444374999998,,,0.7521044281549445,1.264981620260216,2.5542223357982765,2.902486017196974
2009-03-29,0.7967434083333332,14.846866749999998,,,0.7035828315209627,1.3674281610560075,1.9418328689350584,2.866344437673045
2009-03-30,1.080693215833333,12.433353541666667,,,1.0223345062143425,1.717545050695906,3.1451569449516388,2.8773409791156777
2009-03-31,0.87698666875,11.064814708333332,,,0.8641304437066877,1.4329779620752783,2.867985991109635,2.8771744482473114
2009-04-01,0.7828514008333333,10.043204041666668,,,0.7951248296383486,1.2897204180210962,2.8205592465120706,2.8753178149664738
2009-04-02,1.101112476666667,11.863705416666669,,,1.0593873343079772,1.7343245483320011,3.358454809738504,2.8939720490253076
2009-04-03,1.0164515179166669,13.586612208333332,,,0.9298620247504656,1.6495963604923565,2.707096071052864,2.8872112580801175
2009-04-04,1.5003686083333332,9.541245708333332,,,1.5461596744704784,2.1510173543952247,5.690115325113364,2.994108052199102
2009-04-05,0.8957308820833334,12.000453125,,,0.8582901667208807,1.4722608920378075,2.7008973727147128,2.9833679881214277
2009-04-06,0.5198940704166667,13.87502625,100.78085171066904,1.9414907525142129,0.4717155621118621,0.9665761995895251,1.3558424603276908,2.921912253057079
2009-04-07,0.7140807195833333,15.228938166666667,,,0.6240611081314446,1.25501221316178,1.6967031395780403,2.875389505538126
2009-04-08,0.896207505,12.062759833333333,,,0.8571591572667554,1.4737582740067858,2.6883764038431646,2.868186511969427
2009-04-09,1.0532382041666668,14.342217845833334,,,0.9431598903974266,1.7049560686063139,2.657287036214711,2.860487004025965
2009-04-10,0.8721065616666667,15.972223166666666,,,0.7472127612880118,1.477406415788553,1.9757516993826245,2.827411657632029
2009-04-11,1.3819997883333333,12.076019416666666,,,1.321265014258395,2.084298317407148,4.141067918731487,2.877939050761861
2009-04-12,1.2579740791666667,8.781694333333334,,,1.3236698899232526,1.8376105984265112,5.1834815337395925,2.9658898054764085
2009-04-13,1.0026462670833334,15.623167458333334,,,0.8670286029823246,1.6494258005722244,2.3222385652877806,2.9391759223874896
2009-04-14,1.222771175,14.036519666666669,,,1.1044037748582838,1.9178051909918998,3.1522012251304328,2.946638278243989
2009-04-15,2.6023066541666666,9.685803541666669,,,2.6706651221666,3.350797777206181,9.721896560411574,3.203208544363985
2009-04-16,1.9246648166666669,8.7430425,,,2.0272217923562015,2.5797906074808474,7.965640413926044,3.3847080776743006
2009-04-17,1.1753821554166668,7.993197000000001,,,1.2606020792071753,1.7019587519303958,5.320920325738946,3.4579070382617565
2009-04-18,0.7044920879166666,7.738095,,,0.7595953748338382,1.1202575530578953,3.294353827444412,3.451551411122317
2009-04-19,0.68822987125,14.058302708333336,,,0.6212259423357369,1.2110755363930588,1.7714496284009564,3.387434835769889
2009-04-20,0.7451028116666666,11.920869083333333,,,0.7156496188605777,1.269643902695402,2.2617076310841875,3.344538399325279
2009-04-21,0.5554841816666667,11.210195333333331,,,0.5449665650471652,0.9961840112674147,1.7930264484849143,3.285577930912961
